#,Paper_ID,R1_Rec,R1_Length,R1_Conf,R2_Rec,R2_Length,R2_Conf,R3_Rec,R3_Length,R3_Conf,MR_Length,Decision
149,rkfbLilAb,5,430,4,2,323,5,3,256,5,60,Reject
150,By9iRkWA-,8,135,3,5,412,5,5,506,4,77,Reject
151,SJSVuReCZ,4,454,3,5,563,4,7,72,3,73,Reject
152,SywXXwJAb,6,815,4,7,338,3,8,271,5,156,Accept (Poster)
153,BJ_UL-k0b,6,812,3,7,97,3,7,705,3,119,Accept (Poster)
154,r1lfpfZAb,6,387,5,5,260,4,4,376,5,154,Invite to Workshop Track
155,ByOExmWAb,7,413,4,7,323,3,7,300,5,39,Accept (Poster)
156,SJzmJEq6W,5,167,2,4,566,2,5,335,1,74,Reject
157,HyjC5yWCW,6,801,3,6,126,1,7,121,1,155,Accept (Poster)
158,B1tC-LT6W,4,378,3,5,758,5,5,83,3,85,Reject
159,Sy4c-3xRW,6,135,3,6,466,4,4,211,3,101,Invite to Workshop Track
160,Skj8Kag0Z,4,725,4,9,142,4,7,154,4,144,Accept (Poster)
161,HktK4BeCZ,8,1640,4,8,532,3,1,153,5,57,Accept (Oral)
162,H1Yp-j1Cb,7,333,4,8,205,5,5,439,4,88,Accept (Poster)
163,H1sUHgb0Z,7,295,4,6,367,3,7,338,4,37,Accept (Poster)
164,H1I3M7Z0b,6,930,4,6,170,3,5,173,5,86,Invite to Workshop Track
165,BJ8c3f-0b,7,668,3,3,382,2,7,519,4,167,Accept (Poster)
166,SyYe6k-CW,5,180,5,7,682,4,6,351,4,52,Accept (Poster)
167,HJLPel-CW,7,356,3,5,346,5,5,300,3,165,Reject
168,S1Y7OOlRZ,5,1781,5,6,100,3,5,775,5,71,Reject
169,rywDjg-RW,6,117,3,6,334,4,8,308,3,138,Accept (Poster)
170,SkYMnLxRW,9,292,4,4,502,4,6,377,5,67,Reject
171,S1CChZ-CZ,7,263,5,6,365,4,8,156,3,39,Accept (Oral)
172,rkdU7tCaZ,7,340,4,7,169,4,3,261,3,383,Reject
173,Bk7wvW-C-,7,1647,4,6,691,4,3,227,5,26,Reject
174,SJky6Ry0W,6,192,4,5,574,4,5,285,4,65,Reject
175,S1DWPP1A-,7,228,4,6,873,2,7,813,4,97,Accept (Poster)
176,BkpiPMbA-,6,851,3,6,108,2,6,373,3,103,Accept (Poster)
177,Byd-EfWCb,6,1802,4,5,379,5,4,240,4,78,Invite to Workshop Track
178,BkeqO7x0-,7,1693,4,7,234,1,8,118,4,32,Accept (Poster)
179,ryTp3f-0-,7,403,4,6,247,3,7,112,3,66,Accept (Poster)
180,ByOfBggRZ,7,390,4,7,493,4,7,433,5,48,Accept (Poster)
181,HkXWCMbRW,6,512,4,9,529,5,6,434,3,89,Accept (Poster)
182,ByeqORgAW,6,690,4,5,205,4,7,1031,4,111,Accept (Poster)
183,By-7dz-AZ,7,550,5,6,656,5,6,266,4,37,Accept (Poster)
184,HJ94fqApW,5,501,5,7,179,3,6,239,5,47,Accept (Poster)
185,H1kG7GZAW,6,484,5,7,550,4,7,669,4,92,Accept (Poster)
186,rkONG0xAW,6,392,3,7,287,4,5,235,3,55,Reject
187,SJ1Xmf-Rb,7,313,2,7,273,4,6,270,2,17,Accept (Poster)
188,HyDMX0l0Z,6,946,5,4,172,3,4,649,3,148,Invite to Workshop Track
189,B1NOXfWR-,6,408,4,6,240,3,4,740,4,24,Reject
190,HyKZyYlRZ,6,592,3,3,329,5,6,90,4,137,Reject
191,H1BLjgZCb,6,262,3,7,628,4,6,383,3,59,Accept (Poster)
192,SkF2D7g0b,5,367,4,6,392,3,7,393,4,49,Reject
193,B1spAqUp-,5,266,5,5,462,4,6,178,4,111,Reject
194,HkpYwMZRb,3,841,2,5,617,4,8,422,1,97,Invite to Workshop Track
195,Hkn7CBaTW,8,671,3,8,308,4,6,291,4,47,Accept (Poster)
196,HkGcX--0-,5,552,4,7,34,4,5,155,4,156,Reject
197,B14TlG-RW,8,280,5,5,416,4,6,157,3,136,Accept (Poster)
198,H1aIuk-RW,7,599,4,7,270,4,7,92,3,45,Accept (Poster)
199,rydeCEhs-,7,463,3,7,123,4,6,209,2,120,Accept (Poster)
200,r16Vyf-0-,6,600,4,3,244,3,5,391,4,30,Reject
201,Sy8XvGb0-,7,575,4,7,428,3,7,417,3,49,Accept (Poster)
202,Sy5OAyZC-,7,336,4,5,682,4,6,217,5,313,Reject
203,rk6cfpRjZ,7,153,4,6,48,4,7,538,4,61,Accept (Poster)
204,H1uP7ebAW,6,284,3,6,279,4,6,189,3,207,Reject
205,B1NGT8xCZ,6,220,3,5,194,4,5,229,4,78,Reject
206,HJtEm4p6Z,7,744,4,6,706,5,6,283,3,62,Accept (Poster)
207,r1HhRfWRZ,7,234,4,4,553,4,4,361,5,26,Accept (Poster)
208,rkPLzgZAZ,6,402,2,8,493,3,8,704,2,39,Accept (Poster)
209,rJ695PxRW,4,1256,4,4,824,4,4,375,4,72,Reject
210,HyrCWeWCb,6,143,4,5,209,4,5,190,1,56,Accept (Poster)
211,HJsjkMb0Z,8,188,4,9,586,4,8,385,4,116,Accept (Poster)
212,rk6qdGgCZ,7,598,4,4,251,4,8,140,3,226,Reject
213,BkVsWbbAW,5,349,4,6,303,4,7,351,2,87,Reject
214,BkUHlMZ0b,7,308,3,7,860,3,7,94,1,68,Accept (Poster)
215,ryH20GbRW,8,413,5,7,965,4,7,153,3,29,Accept (Poster)
216,BkSDMA36Z,6,501,4,6,661,5,6,637,3,42,Accept (Poster)
217,rJTGkKxAZ,4,812,4,6,355,3,3,326,4,46,Reject
218,HktRlUlAZ,7,652,4,7,286,4,8,325,3,72,Accept (Poster)
219,rkmoiMbCb,5,458,4,7,390,4,4,312,4,108,Reject
220,rk9kKMZ0-,6,185,3,3,165,4,4,103,4,65,Reject
221,HyI6s40a-,5,190,3,7,1001,3,3,435,5,144,Reject
222,Hyp3i2xRb,4,326,5,2,163,4,7,570,4,32,Reject
223,ryZ283gAZ,7,330,4,6,151,1,5,310,3,66,Invite to Workshop Track
224,H1T2hmZAb,7,544,4,8,201,4,4,179,4,126,Accept (Poster)
225,H1VGkIxRZ,6,431,4,6,267,3,9,186,3,46,Accept (Poster)
226,ByuP8yZRb,6,411,3,5,238,4,6,82,4,42,Reject
227,SkHl6MWC-,5,661,4,5,192,4,6,301,4,116,Invite to Workshop Track
228,BJ8vJebC-,7,753,4,7,258,4,8,397,4,166,Accept (Oral)
229,rkRwGg-0Z,7,272,3,7,496,4,7,293,2,10,Accept (Oral)
230,SkOb1Fl0Z,6,379,4,4,256,4,5,378,4,77,Invite to Workshop Track
231,SkmM6M_pW,5,312,4,3,262,4,4,1050,4,17,Reject
232,ryup8-WCW,7,913,3,7,404,4,6,137,2,62,Accept (Poster)
233,S1D8MPxA-,6,377,4,6,215,4,7,239,3,67,Accept (Poster)
234,rJzIBfZAb,7,409,4,6,489,3,7,454,4,68,Accept (Poster)
235,BySRH6CpW,6,542,4,7,238,3,6,190,3,54,Accept (Poster)
236,r1vccClCb,5,265,5,6,207,4,4,461,4,149,Reject
237,ryykVe-0W,5,341,5,3,579,5,6,337,3,147,Reject
238,r1vuQG-CW,7,412,4,7,216,4,7,378,4,163,Accept (Poster)
239,BJJ9bz-0-,5,220,3,6,273,5,5,774,4,112,Invite to Workshop Track
240,SJUX_MWCZ,5,300,3,4,309,5,6,471,3,92,Invite to Workshop Track
241,S1szZkb0b,5,156,2,5,234,4,5,424,4,22,Reject
242,S1Auv-WRZ,4,256,4,9,184,5,6,101,3,55,Invite to Workshop Track
243,SyX0IeWAW,6,160,3,4,392,4,7,362,3,50,Accept (Poster)
244,rkTS8lZAb,7,557,4,7,360,3,4,123,3,52,Accept (Poster)
245,BJ_QxP1AZ,5,731,4,7,195,4,4,201,5,143,Reject
246,H113pWZRb,6,234,3,4,346,4,5,470,4,83,Reject
247,Hkfmn5n6W,5,420,3,7,297,2,6,456,3,64,Invite to Workshop Track
248,ryRh0bb0Z,7,850,3,5,249,4,7,299,5,132,Accept (Poster)
249,SJJySbbAZ,7,1020,4,8,332,4,6,472,4,11,Accept (Poster)
250,ry831QWAb,4,817,5,9,288,5,2,530,5,279,Reject
251,BybQ7zWCb,6,729,4,4,861,4,7,637,3,55,Reject
252,SJwZUHRTZ,5,797,4,5,713,5,7,72,3,135,Reject
253,r1QZ3zbAZ,4,374,5,6,121,3,4,626,4,82,Reject
254,r1dHXnH6-,5,592,5,6,333,4,6,286,4,117,Accept (Poster)
255,HJPSN3gRW,4,331,4,4,1062,5,5,1167,3,139,Reject
256,H1srNebAZ,7,734,4,4,210,4,5,198,4,90,Reject
257,SygwwGbRW,7,614,5,3,184,4,7,530,4,62,Accept (Poster)
258,H1dh6Ax0Z,4,816,5,8,307,5,5,322,3,47,Accept (Poster)
259,rJvJXZb0W,6,595,5,8,729,4,6,329,4,52,Accept (Poster)
260,rk49Mg-CW,7,839,5,7,228,4,7,390,4,11,Accept (Poster)
261,rkLyJl-0-,6,190,4,6,356,3,6,264,3,53,Accept (Poster)
262,rylSzl-R-,7,502,4,6,596,4,7,191,3,67,Accept (Poster)
263,HyxjwgbRZ,4,453,4,4,223,4,5,310,5,193,Reject
264,r1YqWz-R-,5,671,4,4,310,3,5,388,2,32,Reject
265,rJXMpikCZ,6,388,4,7,517,5,5,518,4,37,Accept (Poster)
266,HJGv1Z-AW,7,1025,4,9,769,5,5,432,4,69,Accept (Oral)
267,HkinqfbAb,6,268,5,6,207,4,6,491,4,105,Reject
268,HJIhGXWCZ,4,211,4,5,299,3,5,530,2,86,Reject
269,B18WgG-CZ,8,2239,5,8,635,5,4,324,5,111,Accept (Poster)
270,ryZ8sz-Ab,5,565,4,5,457,3,7,117,4,90,Invite to Workshop Track
271,rJ33wwxRb,7,435,3,7,475,3,8,345,4,87,Accept (Poster)
272,B1jscMbAW,6,697,3,7,111,3,7,296,3,49,Accept (Poster)
273,HyMTkQZAb,7,426,4,5,906,4,7,136,3,125,Accept (Poster)
274,S1LXVnxRb,4,325,4,5,134,4,3,117,5,15,Invite to Workshop Track
275,Byk4My-RZ,6,386,4,6,131,3,5,585,4,105,Reject
276,rJNpifWAb,6,274,4,8,287,3,6,716,4,69,Accept (Poster)
277,r1-4BLaQz,6,257,5,3,636,4,3,475,4,,
278,Sk1NTfZAb,4,236,4,5,250,2,3,667,4,30,Reject
279,B1ZZTfZAW,4,653,4,6,351,4,5,353,4,106,Reject
280,B1nxTzbRZ,5,407,4,4,582,1,5,306,3,88,Reject
281,rk3mjYRp-,4,334,3,5,335,3,4,180,4,50,Reject
282,HJrJpzZRZ,7,669,5,3,275,4,3,607,5,43,Reject
283,BJ6anzb0Z,6,222,5,4,812,5,5,313,5,55,Reject
284,rkaT3zWCZ,4,409,5,5,532,4,8,378,4,63,Invite to Workshop Track
285,r1Zi2Mb0-,3,172,4,4,347,4,3,156,4,135,Reject
286,r111KtCp-,4,174,5,4,293,4,4,225,3,55,Reject
287,ByqFhGZCW,5,305,3,6,267,3,5,404,4,81,Reject
288,rkc_hGb0Z,5,378,4,3,332,3,5,768,2,19,Reject
289,r1uOhfb0W,4,208,4,6,266,3,6,156,5,52,Reject
